   n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
 259,      1833,         157,        838,         3493,           1729,          1812,           380,             123,            212,      33411,          123,       12826
 260,      1857,         161,        850,         3516,           1739,          1829,           381,             123,            215,      33670,          123,       12848
 261,      1873,         161,        859,         3531,           1749,          1839,           382,             123,            215,      33930,          123,       13022
 262,      1873,         160,        863,         3549,           1755,          1848,           383,             123,            216,      34191,          123,       13101
 263,      1882,         164,        867,         3568,           1766,          1857,           384,             123,            214,      34453,          123,       13092
 264,      1879,         166,        868,         3580,           1776,          1859,           385,             123,            216,      34716,          123,       13187
 265,      1893,         165,        867,         3601,           1787,          1868,           386,             123,            216,      34980,          123,       13344
 266,      1907,         169,        879,         3619,           1789,          1878,           387,             123,            216,      35245,          123,       13494
 267,      1913,         164,        874,         3638,           1801,          1885,           388,             123,            217,      35511,          123,       13612
 268,      1930,         166,        883,         3651,           1812,          1902,           389,             123,            218,      35778,          123,       13659
 269,      1936,         170,        895,         3669,           1818,          1902,           390,             123,            216,      36046,          123,       13758
 270,      1943,         164,        950,         3689,           1829,          1913,           391,             123,            217,      36315,          123,       13912
 271,      1950,         161,        886,         3711,           1835,          1924,           393,             124,            221,      36585,          124,       13978
 272,      1958,         164,        912,         3726,           1843,          1942,           396,             126,            221,      36856,          126,       14031
 273,      1985,         170,        913,         3746,           1851,          1944,           398,             127,            224,      37128,          127,       14213
 274,      1987,         167,        909,         3757,           1863,          1955,           399,             127,            224,      37401,          127,       14288
 275,      1984,         177,        912,         3772,           1867,          1957,           400,             127,            224,      37675,          127,       14379
 276,      1986,         178,        916,         3794,           1880,          1968,           402,             128,            224,      37950,          128,       14487
 277,      1999,         174,        924,         3810,           1887,          1977,           405,             130,            226,      38226,          130,       14621
 278,      2012,         174,        922,         3826,           1896,          2002,           406,             130,            227,      38503,          130,       14712
 279,      2059,         173,        946,         3848,           1901,          1999,           407,             130,            242,      38781,          130,       14882
 280,      2055,         176,        958,         3863,           1913,          1998,           408,             130,            229,      39060,          130,       14938
 281,      2051,         175,        945,         3883,           1923,          2017,           410,             131,            236,      39340,          131,       15053
 282,      2064,         176,        945,         3900,           1928,          2035,           411,             131,            230,      39621,          131,       15149
 283,      2077,         185,        986,         3923,           1942,          2058,           413,             132,            231,      39903,          132,       15254
 284,      2083,         181,        956,         3935,           1947,          2046,           414,             132,            235,      40186,          132,       15368
 285,      2097,         183,        967,         3954,           1957,          2049,           415,             132,            233,      40470,          132,       15498
 286,      2111,         183,        976,         3967,           1963,          2058,           417,             133,            235,      40755,          133,       15594
 287,      2075,         179,        948,         3986,           1971,          2075,           419,             134,            236,      41041,          134,       15686
 288,      2093,         182,       1014,         4008,           1984,          2094,           422,             136,            241,      41328,          136,       16048
